experiment,lsu_mode,lsu_num,totalLoadLatency,writePhaseLatency,readPhaseLatency
wtr_32,4,32,942420,813567,128853
wtr_128,4,128,1170519,1001634,168885
wtr_512,4,512,3296385,2887308,409077
wtr_1024,4,1024,5736252,4993575,742677
wtr_2048,4,2048,11275263,9865386,1409877
wtr_4096,4,4096,31033140,19912167,11120973
cold_read_32,2,32,813567,0,0
cold_read_128,2,128,1303125,0,0
cold_read_512,2,512,2980299,0,0
cold_read_1024,2,1024,4946454,0,0
cold_read_2048,2,2048,N/A,0,0
cold_read_4096,2,4096,19165320,0,0
single_pt_32,1,32,653856,0,0
single_pt_512,1,512,884874,0,0
single_pt_2048,1,2048,2141712,0,0
